-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS2M     MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,WS2M
21.0,113.125,2025,1,4,6.92
21.0,113.75,2025,1,4,7.55
21.0,114.375,2025,1,4,8.19
21.0,115.0,2025,1,4,8.63
21.0,115.625,2025,1,4,8.94
21.5,113.125,2025,1,4,5.7
21.5,113.75,2025,1,4,6.49
21.5,114.375,2025,1,4,7.59
21.5,115.0,2025,1,4,8.27
21.5,115.625,2025,1,4,8.71
22.0,113.125,2025,1,4,3.63
22.0,113.75,2025,1,4,5.0
22.0,114.375,2025,1,4,6.25
22.0,115.0,2025,1,4,7.64
22.0,115.625,2025,1,4,8.57
22.5,113.125,2025,1,4,2.1
22.5,113.75,2025,1,4,3.14
22.5,114.375,2025,1,4,3.71
22.5,115.0,2025,1,4,5.73
22.5,115.625,2025,1,4,7.29
23.0,113.125,2025,1,4,1.71
23.0,113.75,2025,1,4,1.81
23.0,114.375,2025,1,4,1.86
23.0,115.0,2025,1,4,2.18
23.0,115.625,2025,1,4,3.24
23.5,113.125,2025,1,4,1.92
23.5,113.75,2025,1,4,1.75
23.5,114.375,2025,1,4,1.45
23.5,115.0,2025,1,4,1.59
23.5,115.625,2025,1,4,1.62
21.0,113.125,2025,1,5,5.64
21.0,113.75,2025,1,5,5.92
21.0,114.375,2025,1,5,6.68
21.0,115.0,2025,1,5,7.4
21.0,115.625,2025,1,5,8.13
21.5,113.125,2025,1,5,4.47
21.5,113.75,2025,1,5,4.53
21.5,114.375,2025,1,5,5.52
21.5,115.0,2025,1,5,6.42
21.5,115.625,2025,1,5,7.17
22.0,113.125,2025,1,5,3.38
22.0,113.75,2025,1,5,3.44
22.0,114.375,2025,1,5,4.04
22.0,115.0,2025,1,5,5.19
22.0,115.625,2025,1,5,6.16
22.5,113.125,2025,1,5,3.05
22.5,113.75,2025,1,5,3.04
22.5,114.375,2025,1,5,2.76
22.5,115.0,2025,1,5,3.72
22.5,115.625,2025,1,5,4.23
23.0,113.125,2025,1,5,3.15
23.0,113.75,2025,1,5,2.57
23.0,114.375,2025,1,5,2.09
23.0,115.0,2025,1,5,2.1
23.0,115.625,2025,1,5,2.22
23.5,113.125,2025,1,5,3.37
23.5,113.75,2025,1,5,2.6
23.5,114.375,2025,1,5,2.04
23.5,115.0,2025,1,5,2.31
23.5,115.625,2025,1,5,1.87
21.0,113.125,2025,1,6,5.86
21.0,113.75,2025,1,6,5.84
21.0,114.375,2025,1,6,6.37
21.0,115.0,2025,1,6,6.88
21.0,115.625,2025,1,6,7.37
21.5,113.125,2025,1,6,5.11
21.5,113.75,2025,1,6,5.4
21.5,114.375,2025,1,6,6.18
21.5,115.0,2025,1,6,6.86
21.5,115.625,2025,1,6,7.39
22.0,113.125,2025,1,6,3.42
22.0,113.75,2025,1,6,4.42
22.0,114.375,2025,1,6,5.21
22.0,115.0,2025,1,6,6.42
22.0,115.625,2025,1,6,7.4
22.5,113.125,2025,1,6,2.3
22.5,113.75,2025,1,6,2.82
22.5,114.375,2025,1,6,3.46
22.5,115.0,2025,1,6,4.93
22.5,115.625,2025,1,6,6.14
23.0,113.125,2025,1,6,2.34
23.0,113.75,2025,1,6,2.15
23.0,114.375,2025,1,6,2.1
23.0,115.0,2025,1,6,2.33
23.0,115.625,2025,1,6,3.01
23.5,113.125,2025,1,6,2.78
23.5,113.75,2025,1,6,2.31
23.5,114.375,2025,1,6,1.96
23.5,115.0,2025,1,6,2.35
23.5,115.625,2025,1,6,1.76
21.0,113.125,2025,1,7,5.69
21.0,113.75,2025,1,7,5.89
21.0,114.375,2025,1,7,6.36
21.0,115.0,2025,1,7,6.85
21.0,115.625,2025,1,7,7.38
21.5,113.125,2025,1,7,4.9
21.5,113.75,2025,1,7,5.5
21.5,114.375,2025,1,7,6.17
21.5,115.0,2025,1,7,6.7
21.5,115.625,2025,1,7,7.17
22.0,113.125,2025,1,7,3.1
22.0,113.75,2025,1,7,4.58
22.0,114.375,2025,1,7,5.38
22.0,115.0,2025,1,7,6.52
22.0,115.625,2025,1,7,7.32
22.5,113.125,2025,1,7,1.68
22.5,113.75,2025,1,7,2.77
22.5,114.375,2025,1,7,3.14
22.5,115.0,2025,1,7,4.97
22.5,115.625,2025,1,7,6.37
23.0,113.125,2025,1,7,1.74
23.0,113.75,2025,1,7,1.94
23.0,114.375,2025,1,7,1.59
23.0,115.0,2025,1,7,1.76
23.0,115.625,2025,1,7,2.41
23.5,113.125,2025,1,7,2.09
23.5,113.75,2025,1,7,1.98
23.5,114.375,2025,1,7,1.54
23.5,115.0,2025,1,7,1.75
23.5,115.625,2025,1,7,1.31
21.0,113.125,2025,1,8,5.89
21.0,113.75,2025,1,8,6.12
21.0,114.375,2025,1,8,6.71
21.0,115.0,2025,1,8,7.29
21.0,115.625,2025,1,8,7.82
21.5,113.125,2025,1,8,4.75
21.5,113.75,2025,1,8,5.17
21.5,114.375,2025,1,8,6.05
21.5,115.0,2025,1,8,6.82
21.5,115.625,2025,1,8,7.47
22.0,113.125,2025,1,8,3.08
22.0,113.75,2025,1,8,3.8
22.0,114.375,2025,1,8,4.73
22.0,115.0,2025,1,8,5.94
22.0,115.625,2025,1,8,7.12
22.5,113.125,2025,1,8,2.31
22.5,113.75,2025,1,8,2.9
22.5,114.375,2025,1,8,2.8
22.5,115.0,2025,1,8,3.98
22.5,115.625,2025,1,8,5.49
23.0,113.125,2025,1,8,2.36
23.0,113.75,2025,1,8,2.44
23.0,114.375,2025,1,8,1.95
23.0,115.0,2025,1,8,1.82
23.0,115.625,2025,1,8,2.14
23.5,113.125,2025,1,8,2.53
23.5,113.75,2025,1,8,2.21
23.5,114.375,2025,1,8,1.89
23.5,115.0,2025,1,8,2.23
23.5,115.625,2025,1,8,1.59
21.0,113.125,2025,1,9,6.22
21.0,113.75,2025,1,9,6.18
21.0,114.375,2025,1,9,6.74
21.0,115.0,2025,1,9,7.37
21.0,115.625,2025,1,9,8.03
21.5,113.125,2025,1,9,5.72
21.5,113.75,2025,1,9,5.63
21.5,114.375,2025,1,9,6.21
21.5,115.0,2025,1,9,6.94
21.5,115.625,2025,1,9,7.79
22.0,113.125,2025,1,9,4.52
22.0,113.75,2025,1,9,5.2
22.0,114.375,2025,1,9,5.34
22.0,115.0,2025,1,9,6.15
22.0,115.625,2025,1,9,7.44
22.5,113.125,2025,1,9,3.6
22.5,113.75,2025,1,9,4.7
22.5,114.375,2025,1,9,4.04
22.5,115.0,2025,1,9,4.56
22.5,115.625,2025,1,9,5.72
23.0,113.125,2025,1,9,3.32
23.0,113.75,2025,1,9,3.56
23.0,114.375,2025,1,9,3.17
23.0,115.0,2025,1,9,2.7
23.0,115.625,2025,1,9,2.66
23.5,113.125,2025,1,9,3.7
23.5,113.75,2025,1,9,3.42
23.5,114.375,2025,1,9,2.99
23.5,115.0,2025,1,9,3.4
23.5,115.625,2025,1,9,2.39
21.0,113.125,2025,1,10,9.06
21.0,113.75,2025,1,10,8.75
21.0,114.375,2025,1,10,8.83
21.0,115.0,2025,1,10,9.28
21.0,115.625,2025,1,10,10.12
21.5,113.125,2025,1,10,8.51
21.5,113.75,2025,1,10,8.41
21.5,114.375,2025,1,10,8.22
21.5,115.0,2025,1,10,8.54
21.5,115.625,2025,1,10,9.52
22.0,113.125,2025,1,10,6.66
22.0,113.75,2025,1,10,7.74
22.0,114.375,2025,1,10,7.43
22.0,115.0,2025,1,10,7.63
22.0,115.625,2025,1,10,8.69
22.5,113.125,2025,1,10,5.09
22.5,113.75,2025,1,10,6.49
22.5,114.375,2025,1,10,5.91
22.5,115.0,2025,1,10,6.31
22.5,115.625,2025,1,10,6.88
23.0,113.125,2025,1,10,4.49
23.0,113.75,2025,1,10,4.65
23.0,114.375,2025,1,10,4.36
23.0,115.0,2025,1,10,3.85
23.0,115.625,2025,1,10,3.61
23.5,113.125,2025,1,10,4.42
23.5,113.75,2025,1,10,4.44
23.5,114.375,2025,1,10,3.77
23.5,115.0,2025,1,10,4.14
23.5,115.625,2025,1,10,3.17
21.0,113.125,2025,1,11,8.36
21.0,113.75,2025,1,11,7.95
21.0,114.375,2025,1,11,8.09
21.0,115.0,2025,1,11,8.61
21.0,115.625,2025,1,11,9.21
21.5,113.125,2025,1,11,7.89
21.5,113.75,2025,1,11,7.8
21.5,114.375,2025,1,11,7.69
21.5,115.0,2025,1,11,8.09
21.5,115.625,2025,1,11,8.66
22.0,113.125,2025,1,11,6.08
22.0,113.75,2025,1,11,7.25
22.0,114.375,2025,1,11,7.03
22.0,115.0,2025,1,11,7.5
22.0,115.625,2025,1,11,8.09
22.5,113.125,2025,1,11,4.35
22.5,113.75,2025,1,11,5.96
22.5,114.375,2025,1,11,5.37
22.5,115.0,2025,1,11,6.28
22.5,115.625,2025,1,11,6.57
23.0,113.125,2025,1,11,3.56
23.0,113.75,2025,1,11,3.69
23.0,114.375,2025,1,11,3.63
23.0,115.0,2025,1,11,3.48
23.0,115.625,2025,1,11,3.51
23.5,113.125,2025,1,11,3.59
23.5,113.75,2025,1,11,3.34
23.5,114.375,2025,1,11,2.97
23.5,115.0,2025,1,11,3.5
23.5,115.625,2025,1,11,2.77
21.0,113.125,2025,1,12,7.52
21.0,113.75,2025,1,12,7.66
21.0,114.375,2025,1,12,7.96
21.0,115.0,2025,1,12,8.26
21.0,115.625,2025,1,12,8.62
21.5,113.125,2025,1,12,6.55
21.5,113.75,2025,1,12,7.05
21.5,114.375,2025,1,12,7.49
21.5,115.0,2025,1,12,7.96
21.5,115.625,2025,1,12,8.41
22.0,113.125,2025,1,12,4.38
22.0,113.75,2025,1,12,5.63
22.0,114.375,2025,1,12,6.26
22.0,115.0,2025,1,12,7.1
22.0,115.625,2025,1,12,7.91
22.5,113.125,2025,1,12,2.91
22.5,113.75,2025,1,12,4.02
22.5,114.375,2025,1,12,4.2
22.5,115.0,2025,1,12,5.45
22.5,115.625,2025,1,12,6.22
23.0,113.125,2025,1,12,2.47
23.0,113.75,2025,1,12,2.55
23.0,114.375,2025,1,12,2.65
23.0,115.0,2025,1,12,2.76
23.0,115.625,2025,1,12,3.3
23.5,113.125,2025,1,12,2.45
23.5,113.75,2025,1,12,2.34
23.5,114.375,2025,1,12,2.17
23.5,115.0,2025,1,12,2.72
23.5,115.625,2025,1,12,2.33
21.0,113.125,2025,1,13,7.05
21.0,113.75,2025,1,13,7.59
21.0,114.375,2025,1,13,8.07
21.0,115.0,2025,1,13,8.42
21.0,115.625,2025,1,13,8.71
21.5,113.125,2025,1,13,5.89
21.5,113.75,2025,1,13,6.96
21.5,114.375,2025,1,13,7.87
21.5,115.0,2025,1,13,8.37
21.5,115.625,2025,1,13,8.69
22.0,113.125,2025,1,13,3.73
22.0,113.75,2025,1,13,5.41
22.0,114.375,2025,1,13,6.71
22.0,115.0,2025,1,13,7.91
22.0,115.625,2025,1,13,8.65
22.5,113.125,2025,1,13,2.28
22.5,113.75,2025,1,13,3.81
22.5,114.375,2025,1,13,4.27
22.5,115.0,2025,1,13,6.08
22.5,115.625,2025,1,13,7.25
23.0,113.125,2025,1,13,1.88
23.0,113.75,2025,1,13,2.24
23.0,114.375,2025,1,13,2.27
23.0,115.0,2025,1,13,2.51
23.0,115.625,2025,1,13,3.38
23.5,113.125,2025,1,13,1.73
23.5,113.75,2025,1,13,1.59
23.5,114.375,2025,1,13,1.37
23.5,115.0,2025,1,13,1.65
23.5,115.625,2025,1,13,1.71
21.0,113.125,2025,1,14,7.27
21.0,113.75,2025,1,14,7.69
21.0,114.375,2025,1,14,8.09
21.0,115.0,2025,1,14,8.35
21.0,115.625,2025,1,14,8.56
21.5,113.125,2025,1,14,5.86
21.5,113.75,2025,1,14,6.61
21.5,114.375,2025,1,14,7.35
21.5,115.0,2025,1,14,7.78
21.5,115.625,2025,1,14,8.06
22.0,113.125,2025,1,14,3.44
22.0,113.75,2025,1,14,4.81
22.0,114.375,2025,1,14,5.7
22.0,115.0,2025,1,14,6.69
22.0,115.625,2025,1,14,7.39
22.5,113.125,2025,1,14,1.86
22.5,113.75,2025,1,14,2.97
22.5,114.375,2025,1,14,3.22
22.5,115.0,2025,1,14,4.48
22.5,115.625,2025,1,14,5.48
23.0,113.125,2025,1,14,1.35
23.0,113.75,2025,1,14,1.71
23.0,114.375,2025,1,14,1.49
23.0,115.0,2025,1,14,1.67
23.0,115.625,2025,1,14,2.43
23.5,113.125,2025,1,14,1.06
23.5,113.75,2025,1,14,1.33
23.5,114.375,2025,1,14,1.3
23.5,115.0,2025,1,14,1.73
23.5,115.625,2025,1,14,1.57
21.0,113.125,2025,1,15,7.08
21.0,113.75,2025,1,15,7.31
21.0,114.375,2025,1,15,7.97
21.0,115.0,2025,1,15,8.73
21.0,115.625,2025,1,15,9.46
21.5,113.125,2025,1,15,6.11
21.5,113.75,2025,1,15,6.17
21.5,114.375,2025,1,15,6.87
21.5,115.0,2025,1,15,7.9
21.5,115.625,2025,1,15,8.93
22.0,113.125,2025,1,15,5.04
22.0,113.75,2025,1,15,5.13
22.0,114.375,2025,1,15,5.31
22.0,115.0,2025,1,15,6.54
22.0,115.625,2025,1,15,8.19
22.5,113.125,2025,1,15,4.59
22.5,113.75,2025,1,15,5.16
22.5,114.375,2025,1,15,4.01
22.5,115.0,2025,1,15,4.29
22.5,115.625,2025,1,15,5.88
23.0,113.125,2025,1,15,4.42
23.0,113.75,2025,1,15,4.5
23.0,114.375,2025,1,15,3.63
23.0,115.0,2025,1,15,2.75
23.0,115.625,2025,1,15,2.56
23.5,113.125,2025,1,15,4.77
23.5,113.75,2025,1,15,4.61
23.5,114.375,2025,1,15,3.78
23.5,115.0,2025,1,15,4.06
23.5,115.625,2025,1,15,2.67
21.0,113.125,2025,1,16,7.31
21.0,113.75,2025,1,16,7.2
21.0,114.375,2025,1,16,7.83
21.0,115.0,2025,1,16,8.6
21.0,115.625,2025,1,16,9.34
21.5,113.125,2025,1,16,6.52
21.5,113.75,2025,1,16,6.35
21.5,114.375,2025,1,16,6.83
21.5,115.0,2025,1,16,7.76
21.5,115.625,2025,1,16,8.82
22.0,113.125,2025,1,16,4.95
22.0,113.75,2025,1,16,5.41
22.0,114.375,2025,1,16,5.46
22.0,115.0,2025,1,16,6.39
22.0,115.625,2025,1,16,8.04
22.5,113.125,2025,1,16,3.84
22.5,113.75,2025,1,16,4.75
22.5,114.375,2025,1,16,3.92
22.5,115.0,2025,1,16,4.37
22.5,115.625,2025,1,16,5.92
23.0,113.125,2025,1,16,3.33
23.0,113.75,2025,1,16,3.54
23.0,114.375,2025,1,16,2.99
23.0,115.0,2025,1,16,2.56
23.0,115.625,2025,1,16,2.46
23.5,113.125,2025,1,16,3.36
23.5,113.75,2025,1,16,3.37
23.5,114.375,2025,1,16,2.85
23.5,115.0,2025,1,16,3.13
23.5,115.625,2025,1,16,2.34
21.0,113.125,2025,1,17,6.12
21.0,113.75,2025,1,17,6.25
21.0,114.375,2025,1,17,6.85
21.0,115.0,2025,1,17,7.46
21.0,115.625,2025,1,17,8.03
21.5,113.125,2025,1,17,5.48
21.5,113.75,2025,1,17,5.79
21.5,114.375,2025,1,17,6.37
21.5,115.0,2025,1,17,7.16
21.5,115.625,2025,1,17,7.9
22.0,113.125,2025,1,17,3.77
22.0,113.75,2025,1,17,4.85
22.0,114.375,2025,1,17,5.34
22.0,115.0,2025,1,17,6.48
22.0,115.625,2025,1,17,7.65
22.5,113.125,2025,1,17,2.35
22.5,113.75,2025,1,17,3.42
22.5,114.375,2025,1,17,3.39
22.5,115.0,2025,1,17,4.84
22.5,115.625,2025,1,17,6.22
23.0,113.125,2025,1,17,1.9
23.0,113.75,2025,1,17,1.82
23.0,114.375,2025,1,17,1.76
23.0,115.0,2025,1,17,1.93
23.0,115.625,2025,1,17,2.78
23.5,113.125,2025,1,17,2.2
23.5,113.75,2025,1,17,1.98
23.5,114.375,2025,1,17,1.58
23.5,115.0,2025,1,17,1.81
23.5,115.625,2025,1,17,1.29
21.0,113.125,2025,1,18,4.98
21.0,113.75,2025,1,18,5.29
21.0,114.375,2025,1,18,5.72
21.0,115.0,2025,1,18,6.25
21.0,115.625,2025,1,18,6.88
21.5,113.125,2025,1,18,4.22
21.5,113.75,2025,1,18,4.71
21.5,114.375,2025,1,18,5.22
21.5,115.0,2025,1,18,5.79
21.5,115.625,2025,1,18,6.4
22.0,113.125,2025,1,18,2.67
22.0,113.75,2025,1,18,3.63
22.0,114.375,2025,1,18,4.22
22.0,115.0,2025,1,18,5.21
22.0,115.625,2025,1,18,6.12
22.5,113.125,2025,1,18,1.7
22.5,113.75,2025,1,18,2.21
22.5,114.375,2025,1,18,2.48
22.5,115.0,2025,1,18,3.83
22.5,115.625,2025,1,18,5.0
23.0,113.125,2025,1,18,1.72
23.0,113.75,2025,1,18,1.85
23.0,114.375,2025,1,18,1.47
23.0,115.0,2025,1,18,1.56
23.0,115.625,2025,1,18,2.12
23.5,113.125,2025,1,18,1.91
23.5,113.75,2025,1,18,1.85
23.5,114.375,2025,1,18,1.49
23.5,115.0,2025,1,18,1.68
23.5,115.625,2025,1,18,1.2
21.0,113.125,2025,1,19,3.51
21.0,113.75,2025,1,19,3.68
21.0,114.375,2025,1,19,3.99
21.0,115.0,2025,1,19,4.44
21.0,115.625,2025,1,19,4.99
21.5,113.125,2025,1,19,2.8
21.5,113.75,2025,1,19,2.73
21.5,114.375,2025,1,19,3.06
21.5,115.0,2025,1,19,3.74
21.5,115.625,2025,1,19,4.43
22.0,113.125,2025,1,19,2.21
22.0,113.75,2025,1,19,2.34
22.0,114.375,2025,1,19,2.15
22.0,115.0,2025,1,19,2.74
22.0,115.625,2025,1,19,3.72
22.5,113.125,2025,1,19,1.74
22.5,113.75,2025,1,19,1.9
22.5,114.375,2025,1,19,1.63
22.5,115.0,2025,1,19,2.13
22.5,115.625,2025,1,19,2.63
23.0,113.125,2025,1,19,1.69
23.0,113.75,2025,1,19,1.78
23.0,114.375,2025,1,19,1.61
23.0,115.0,2025,1,19,1.48
23.0,115.625,2025,1,19,1.58
23.5,113.125,2025,1,19,1.77
23.5,113.75,2025,1,19,1.74
23.5,114.375,2025,1,19,1.63
23.5,115.0,2025,1,19,1.91
23.5,115.625,2025,1,19,1.57
21.0,113.125,2025,1,20,3.66
21.0,113.75,2025,1,20,4.04
21.0,114.375,2025,1,20,4.75
21.0,115.0,2025,1,20,5.3
21.0,115.625,2025,1,20,5.78
21.5,113.125,2025,1,20,3.19
21.5,113.75,2025,1,20,3.24
21.5,114.375,2025,1,20,4.17
21.5,115.0,2025,1,20,5.07
21.5,115.625,2025,1,20,5.84
22.0,113.125,2025,1,20,2.39
22.0,113.75,2025,1,20,2.61
22.0,114.375,2025,1,20,3.12
22.0,115.0,2025,1,20,4.36
22.0,115.625,2025,1,20,5.66
22.5,113.125,2025,1,20,1.61
22.5,113.75,2025,1,20,2.17
22.5,114.375,2025,1,20,2.05
22.5,115.0,2025,1,20,3.01
22.5,115.625,2025,1,20,4.15
23.0,113.125,2025,1,20,1.46
23.0,113.75,2025,1,20,1.38
23.0,114.375,2025,1,20,1.19
23.0,115.0,2025,1,20,1.3
23.0,115.625,2025,1,20,1.85
23.5,113.125,2025,1,20,1.8
23.5,113.75,2025,1,20,1.59
23.5,114.375,2025,1,20,1.17
23.5,115.0,2025,1,20,1.2
23.5,115.625,2025,1,20,0.89
21.0,113.125,2025,1,21,5.07
21.0,113.75,2025,1,21,5.6
21.0,114.375,2025,1,21,6.13
21.0,115.0,2025,1,21,6.68
21.0,115.625,2025,1,21,7.07
21.5,113.125,2025,1,21,4.2
21.5,113.75,2025,1,21,5.24
21.5,114.375,2025,1,21,6.2
21.5,115.0,2025,1,21,6.93
21.5,115.625,2025,1,21,7.42
22.0,113.125,2025,1,21,2.67
22.0,113.75,2025,1,21,4.21
22.0,114.375,2025,1,21,5.58
22.0,115.0,2025,1,21,6.93
22.0,115.625,2025,1,21,7.7
22.5,113.125,2025,1,21,1.91
22.5,113.75,2025,1,21,3.07
22.5,114.375,2025,1,21,3.89
22.5,115.0,2025,1,21,5.66
22.5,115.625,2025,1,21,6.73
23.0,113.125,2025,1,21,1.73
23.0,113.75,2025,1,21,2.02
23.0,114.375,2025,1,21,2.1
23.0,115.0,2025,1,21,2.35
23.0,115.625,2025,1,21,3.36
23.5,113.125,2025,1,21,1.49
23.5,113.75,2025,1,21,1.35
23.5,114.375,2025,1,21,1.12
23.5,115.0,2025,1,21,1.29
23.5,115.625,2025,1,21,1.54
21.0,113.125,2025,1,22,6.01
21.0,113.75,2025,1,22,6.26
21.0,114.375,2025,1,22,6.58
21.0,115.0,2025,1,22,6.9
21.0,115.625,2025,1,22,7.17
21.5,113.125,2025,1,22,5.32
21.5,113.75,2025,1,22,6.09
21.5,114.375,2025,1,22,6.73
21.5,115.0,2025,1,22,6.99
21.5,115.625,2025,1,22,7.18
22.0,113.125,2025,1,22,3.37
22.0,113.75,2025,1,22,4.58
22.0,114.375,2025,1,22,5.6
22.0,115.0,2025,1,22,6.36
22.0,115.625,2025,1,22,6.85
22.5,113.125,2025,1,22,1.89
22.5,113.75,2025,1,22,2.85
22.5,114.375,2025,1,22,3.3
22.5,115.0,2025,1,22,4.3
22.5,115.625,2025,1,22,5.01
23.0,113.125,2025,1,22,1.32
23.0,113.75,2025,1,22,1.43
23.0,114.375,2025,1,22,1.32
23.0,115.0,2025,1,22,1.38
23.0,115.625,2025,1,22,2.07
23.5,113.125,2025,1,22,1.09
23.5,113.75,2025,1,22,0.91
23.5,114.375,2025,1,22,0.83
23.5,115.0,2025,1,22,0.89
23.5,115.625,2025,1,22,0.84
21.0,113.125,2025,1,23,5.17
21.0,113.75,2025,1,23,5.48
21.0,114.375,2025,1,23,5.86
21.0,115.0,2025,1,23,6.22
21.0,115.625,2025,1,23,6.62
21.5,113.125,2025,1,23,4.05
21.5,113.75,2025,1,23,4.57
21.5,114.375,2025,1,23,5.39
21.5,115.0,2025,1,23,5.95
21.5,115.625,2025,1,23,6.41
22.0,113.125,2025,1,23,2.4
22.0,113.75,2025,1,23,3.03
22.0,114.375,2025,1,23,4.03
22.0,115.0,2025,1,23,5.2
22.0,115.625,2025,1,23,6.12
22.5,113.125,2025,1,23,1.48
22.5,113.75,2025,1,23,1.97
22.5,114.375,2025,1,23,2.35
22.5,115.0,2025,1,23,3.5
22.5,115.625,2025,1,23,4.47
23.0,113.125,2025,1,23,0.98
23.0,113.75,2025,1,23,1.22
23.0,114.375,2025,1,23,1.31
23.0,115.0,2025,1,23,1.46
23.0,115.625,2025,1,23,2.1
23.5,113.125,2025,1,23,0.73
23.5,113.75,2025,1,23,0.9
23.5,114.375,2025,1,23,0.78
23.5,115.0,2025,1,23,0.91
23.5,115.625,2025,1,23,0.83
21.0,113.125,2025,1,24,5.28
21.0,113.75,2025,1,24,5.66
21.0,114.375,2025,1,24,6.02
21.0,115.0,2025,1,24,6.27
21.0,115.625,2025,1,24,6.41
21.5,113.125,2025,1,24,4.57
21.5,113.75,2025,1,24,5.16
21.5,114.375,2025,1,24,5.92
21.5,115.0,2025,1,24,6.39
21.5,115.625,2025,1,24,6.71
22.0,113.125,2025,1,24,3.25
22.0,113.75,2025,1,24,4.14
22.0,114.375,2025,1,24,5.08
22.0,115.0,2025,1,24,6.24
22.0,115.625,2025,1,24,7.07
22.5,113.125,2025,1,24,2.44
22.5,113.75,2025,1,24,3.45
22.5,114.375,2025,1,24,3.75
22.5,115.0,2025,1,24,4.92
22.5,115.625,2025,1,24,5.89
23.0,113.125,2025,1,24,2.12
23.0,113.75,2025,1,24,2.39
23.0,114.375,2025,1,24,2.28
23.0,115.0,2025,1,24,2.21
