-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M
23.5,114.375,2025,1,9,50.21
23.5,115.0,2025,1,9,54.08
23.5,115.625,2025,1,9,61.95
21.0,113.125,2025,1,10,68.43
21.0,113.75,2025,1,10,71.01
21.0,114.375,2025,1,10,74.44
21.0,115.0,2025,1,10,76.25
21.0,115.625,2025,1,10,77.4
21.5,113.125,2025,1,10,64.29
21.5,113.75,2025,1,10,66.92
21.5,114.375,2025,1,10,70.4
21.5,115.0,2025,1,10,74.51
21.5,115.625,2025,1,10,77.13
22.0,113.125,2025,1,10,58.38
22.0,113.75,2025,1,10,62.62
22.0,114.375,2025,1,10,65.19
22.0,115.0,2025,1,10,70.43
22.0,115.625,2025,1,10,75.66
22.5,113.125,2025,1,10,48.65
22.5,113.75,2025,1,10,56.29
22.5,114.375,2025,1,10,56.76
22.5,115.0,2025,1,10,63.49
22.5,115.625,2025,1,10,69.12
23.0,113.125,2025,1,10,43.39
23.0,113.75,2025,1,10,44.06
23.0,114.375,2025,1,10,48.41
23.0,115.0,2025,1,10,53.16
23.0,115.625,2025,1,10,58.9
23.5,113.125,2025,1,10,42.56
23.5,113.75,2025,1,10,44.28
23.5,114.375,2025,1,10,46.05
23.5,115.0,2025,1,10,49.51
23.5,115.625,2025,1,10,55.26
21.0,113.125,2025,1,11,64.75
21.0,113.75,2025,1,11,67.96
21.0,114.375,2025,1,11,70.89
21.0,115.0,2025,1,11,73.66
21.0,115.625,2025,1,11,76.1
21.5,113.125,2025,1,11,60.31
21.5,113.75,2025,1,11,63.91
21.5,114.375,2025,1,11,67.44
21.5,115.0,2025,1,11,70.72
21.5,115.625,2025,1,11,74.3
22.0,113.125,2025,1,11,53.8
22.0,113.75,2025,1,11,57.95
22.0,114.375,2025,1,11,62.07
22.0,115.0,2025,1,11,65.98
22.0,115.625,2025,1,11,70.17
22.5,113.125,2025,1,11,44.04
22.5,113.75,2025,1,11,50.95
22.5,114.375,2025,1,11,52.43
22.5,115.0,2025,1,11,58.13
22.5,115.625,2025,1,11,61.92
23.0,113.125,2025,1,11,39.25
23.0,113.75,2025,1,11,40.28
23.0,114.375,2025,1,11,42.47
23.0,115.0,2025,1,11,47.86
23.0,115.625,2025,1,11,53.97
23.5,113.125,2025,1,11,36.56
23.5,113.75,2025,1,11,40.14
23.5,114.375,2025,1,11,39.12
23.5,115.0,2025,1,11,42.23
23.5,115.625,2025,1,11,50.31
21.0,113.125,2025,1,12,60.16
21.0,113.75,2025,1,12,61.52
21.0,114.375,2025,1,12,63.88
21.0,115.0,2025,1,12,66.27
21.0,115.625,2025,1,12,68.76
21.5,113.125,2025,1,12,55.53
21.5,113.75,2025,1,12,56.74
21.5,114.375,2025,1,12,59.68
21.5,115.0,2025,1,12,62.74
21.5,115.625,2025,1,12,66.02
22.0,113.125,2025,1,12,52.0
22.0,113.75,2025,1,12,50.91
22.0,114.375,2025,1,12,54.28
22.0,115.0,2025,1,12,58.35
22.0,115.625,2025,1,12,63.36
22.5,113.125,2025,1,12,46.38
22.5,113.75,2025,1,12,47.09
22.5,114.375,2025,1,12,47.77
22.5,115.0,2025,1,12,51.89
22.5,115.625,2025,1,12,57.4
23.0,113.125,2025,1,12,44.01
23.0,113.75,2025,1,12,43.62
23.0,114.375,2025,1,12,42.89
23.0,115.0,2025,1,12,43.57
23.0,115.625,2025,1,12,48.83
23.5,113.125,2025,1,12,41.03
23.5,113.75,2025,1,12,43.86
23.5,114.375,2025,1,12,42.87
23.5,115.0,2025,1,12,42.06
23.5,115.625,2025,1,12,43.23
21.0,113.125,2025,1,13,73.35
21.0,113.75,2025,1,13,73.69
21.0,114.375,2025,1,13,74.8
21.0,115.0,2025,1,13,75.8
21.0,115.625,2025,1,13,76.5
21.5,113.125,2025,1,13,72.85
21.5,113.75,2025,1,13,72.47
21.5,114.375,2025,1,13,73.88
21.5,115.0,2025,1,13,74.9
21.5,115.625,2025,1,13,75.46
22.0,113.125,2025,1,13,74.82
22.0,113.75,2025,1,13,71.37
22.0,114.375,2025,1,13,73.48
22.0,115.0,2025,1,13,74.7
22.0,115.625,2025,1,13,76.23
22.5,113.125,2025,1,13,68.08
22.5,113.75,2025,1,13,72.7
22.5,114.375,2025,1,13,71.29
22.5,115.0,2025,1,13,72.11
22.5,115.625,2025,1,13,76.36
23.0,113.125,2025,1,13,58.1
23.0,113.75,2025,1,13,58.14
23.0,114.375,2025,1,13,63.87
23.0,115.0,2025,1,13,65.17
23.0,115.625,2025,1,13,70.69
23.5,113.125,2025,1,13,47.86
23.5,113.75,2025,1,13,51.92
23.5,114.375,2025,1,13,53.75
23.5,115.0,2025,1,13,58.47
23.5,115.625,2025,1,13,65.24
21.0,113.125,2025,1,14,85.44
21.0,113.75,2025,1,14,83.91
21.0,114.375,2025,1,14,83.76
21.0,115.0,2025,1,14,83.35
21.0,115.625,2025,1,14,82.95
21.5,113.125,2025,1,14,82.97
21.5,113.75,2025,1,14,81.59
21.5,114.375,2025,1,14,80.8
21.5,115.0,2025,1,14,81.13
21.5,115.625,2025,1,14,81.88
22.0,113.125,2025,1,14,79.0
22.0,113.75,2025,1,14,77.98
22.0,114.375,2025,1,14,77.18
22.0,115.0,2025,1,14,77.2
22.0,115.625,2025,1,14,78.75
22.5,113.125,2025,1,14,74.03
22.5,113.75,2025,1,14,73.8
22.5,114.375,2025,1,14,73.79
22.5,115.0,2025,1,14,74.96
22.5,115.625,2025,1,14,75.64
23.0,113.125,2025,1,14,69.11
23.0,113.75,2025,1,14,67.81
23.0,114.375,2025,1,14,69.81
23.0,115.0,2025,1,14,69.02
23.0,115.625,2025,1,14,69.75
23.5,113.125,2025,1,14,60.01
23.5,113.75,2025,1,14,63.01
23.5,114.375,2025,1,14,66.3
23.5,115.0,2025,1,14,65.72
23.5,115.625,2025,1,14,65.72
21.0,113.125,2025,1,15,75.77
21.0,113.75,2025,1,15,77.02
21.0,114.375,2025,1,15,77.25
21.0,115.0,2025,1,15,75.99
21.0,115.625,2025,1,15,74.75
21.5,113.125,2025,1,15,72.65
21.5,113.75,2025,1,15,74.98
21.5,114.375,2025,1,15,76.05
21.5,115.0,2025,1,15,76.22
21.5,115.625,2025,1,15,75.3
22.0,113.125,2025,1,15,65.09
22.0,113.75,2025,1,15,72.19
22.0,114.375,2025,1,15,73.95
22.0,115.0,2025,1,15,76.2
22.0,115.625,2025,1,15,77.26
22.5,113.125,2025,1,15,55.4
22.5,113.75,2025,1,15,62.2
22.5,114.375,2025,1,15,65.09
22.5,115.0,2025,1,15,72.64
22.5,115.625,2025,1,15,78.41
23.0,113.125,2025,1,15,50.55
23.0,113.75,2025,1,15,50.69
23.0,114.375,2025,1,15,55.25
23.0,115.0,2025,1,15,59.71
23.0,115.625,2025,1,15,67.55
23.5,113.125,2025,1,15,48.13
23.5,113.75,2025,1,15,50.63
23.5,114.375,2025,1,15,51.38
23.5,115.0,2025,1,15,53.89
23.5,115.625,2025,1,15,60.51
21.0,113.125,2025,1,16,70.63
21.0,113.75,2025,1,16,73.67
21.0,114.375,2025,1,16,74.32
21.0,115.0,2025,1,16,74.3
21.0,115.625,2025,1,16,74.17
21.5,113.125,2025,1,16,64.94
21.5,113.75,2025,1,16,69.46
21.5,114.375,2025,1,16,73.0
21.5,115.0,2025,1,16,74.36
21.5,115.625,2025,1,16,75.01
22.0,113.125,2025,1,16,58.3
22.0,113.75,2025,1,16,63.49
22.0,114.375,2025,1,16,67.9
22.0,115.0,2025,1,16,72.39
22.0,115.625,2025,1,16,75.64
22.5,113.125,2025,1,16,47.35
22.5,113.75,2025,1,16,55.25
22.5,114.375,2025,1,16,58.54
22.5,115.0,2025,1,16,66.81
22.5,115.625,2025,1,16,72.43
23.0,113.125,2025,1,16,41.53
23.0,113.75,2025,1,16,40.69
23.0,114.375,2025,1,16,46.73
23.0,115.0,2025,1,16,53.92
23.0,115.625,2025,1,16,65.15
23.5,113.125,2025,1,16,39.51
23.5,113.75,2025,1,16,39.95
23.5,114.375,2025,1,16,40.09
23.5,115.0,2025,1,16,42.79
23.5,115.625,2025,1,16,55.98
21.0,113.125,2025,1,17,72.07
21.0,113.75,2025,1,17,72.85
21.0,114.375,2025,1,17,74.73
21.0,115.0,2025,1,17,75.46
21.0,115.625,2025,1,17,76.34
21.5,113.125,2025,1,17,69.4
21.5,113.75,2025,1,17,69.9
21.5,114.375,2025,1,17,72.53
21.5,115.0,2025,1,17,74.77
21.5,115.625,2025,1,17,76.36
22.0,113.125,2025,1,17,65.75
22.0,113.75,2025,1,17,65.51
22.0,114.375,2025,1,17,69.26
22.0,115.0,2025,1,17,72.58
22.0,115.625,2025,1,17,75.81
22.5,113.125,2025,1,17,55.92
22.5,113.75,2025,1,17,57.49
22.5,114.375,2025,1,17,63.56
22.5,115.0,2025,1,17,66.98
22.5,115.625,2025,1,17,70.83
23.0,113.125,2025,1,17,48.17
23.0,113.75,2025,1,17,46.77
23.0,114.375,2025,1,17,53.0
23.0,115.0,2025,1,17,58.43
23.0,115.625,2025,1,17,63.69
23.5,113.125,2025,1,17,42.98
23.5,113.75,2025,1,17,46.42
23.5,114.375,2025,1,17,45.98
23.5,115.0,2025,1,17,46.25
23.5,115.625,2025,1,17,56.27
21.0,113.125,2025,1,18,70.43
21.0,113.75,2025,1,18,71.77
21.0,114.375,2025,1,18,74.53
21.0,115.0,2025,1,18,77.3
21.0,115.625,2025,1,18,81.38
21.5,113.125,2025,1,18,67.89
21.5,113.75,2025,1,18,67.37
21.5,114.375,2025,1,18,68.98
21.5,115.0,2025,1,18,71.62
21.5,115.625,2025,1,18,76.57
22.0,113.125,2025,1,18,67.06
22.0,113.75,2025,1,18,64.5
22.0,114.375,2025,1,18,64.82
22.0,115.0,2025,1,18,66.65
22.0,115.625,2025,1,18,70.78
22.5,113.125,2025,1,18,60.15
22.5,113.75,2025,1,18,61.99
22.5,114.375,2025,1,18,62.05
22.5,115.0,2025,1,18,64.45
22.5,115.625,2025,1,18,67.62
23.0,113.125,2025,1,18,52.72
23.0,113.75,2025,1,18,54.76
23.0,114.375,2025,1,18,57.12
23.0,115.0,2025,1,18,61.69
23.0,115.625,2025,1,18,63.08
23.5,113.125,2025,1,18,46.91
23.5,113.75,2025,1,18,50.2
23.5,114.375,2025,1,18,50.67
23.5,115.0,2025,1,18,48.66
23.5,115.625,2025,1,18,55.37
21.0,113.125,2025,1,19,65.11
21.0,113.75,2025,1,19,64.89
21.0,114.375,2025,1,19,66.9
21.0,115.0,2025,1,19,68.59
21.0,115.625,2025,1,19,72.52
21.5,113.125,2025,1,19,65.94
21.5,113.75,2025,1,19,63.79
21.5,114.375,2025,1,19,62.85
21.5,115.0,2025,1,19,65.04
21.5,115.625,2025,1,19,70.3
22.0,113.125,2025,1,19,61.49
22.0,113.75,2025,1,19,63.63
22.0,114.375,2025,1,19,61.62
22.0,115.0,2025,1,19,62.33
22.0,115.625,2025,1,19,67.81
22.5,113.125,2025,1,19,54.34
22.5,113.75,2025,1,19,59.06
22.5,114.375,2025,1,19,56.35
22.5,115.0,2025,1,19,60.59
22.5,115.625,2025,1,19,69.02
23.0,113.125,2025,1,19,52.94
23.0,113.75,2025,1,19,52.29
23.0,114.375,2025,1,19,52.33
23.0,115.0,2025,1,19,52.46
23.0,115.625,2025,1,19,61.42
23.5,113.125,2025,1,19,49.91
23.5,113.75,2025,1,19,53.06
23.5,114.375,2025,1,19,50.2
23.5,115.0,2025,1,19,47.58
23.5,115.625,2025,1,19,53.18
21.0,113.125,2025,1,20,67.36
21.0,113.75,2025,1,20,64.22
21.0,114.375,2025,1,20,65.96
21.0,115.0,2025,1,20,68.14
21.0,115.625,2025,1,20,71.07
21.5,113.125,2025,1,20,72.06
21.5,113.75,2025,1,20,66.24
21.5,114.375,2025,1,20,63.92
21.5,115.0,2025,1,20,65.89
21.5,115.625,2025,1,20,68.67
22.0,113.125,2025,1,20,71.18
22.0,113.75,2025,1,20,73.72
22.0,114.375,2025,1,20,65.81
22.0,115.0,2025,1,20,64.59
22.0,115.625,2025,1,20,66.67
22.5,113.125,2025,1,20,60.19
22.5,113.75,2025,1,20,65.93
22.5,114.375,2025,1,20,64.71
22.5,115.0,2025,1,20,66.29
22.5,115.625,2025,1,20,67.94
23.0,113.125,2025,1,20,54.76
23.0,113.75,2025,1,20,49.81
23.0,114.375,2025,1,20,57.2
23.0,115.0,2025,1,20,60.48
23.0,115.625,2025,1,20,67.96
23.5,113.125,2025,1,20,51.87
23.5,113.75,2025,1,20,52.2
23.5,114.375,2025,1,20,51.12
23.5,115.0,2025,1,20,50.83
23.5,115.625,2025,1,20,57.93
21.0,113.125,2025,1,21,71.95
21.0,113.75,2025,1,21,71.96
21.0,114.375,2025,1,21,74.49
21.0,115.0,2025,1,21,77.26
21.0,115.625,2025,1,21,79.25
21.5,113.125,2025,1,21,73.54
21.5,113.75,2025,1,21,71.42
21.5,114.375,2025,1,21,72.19
21.5,115.0,2025,1,21,74.25
21.5,115.625,2025,1,21,76.58
22.0,113.125,2025,1,21,72.48
22.0,113.75,2025,1,21,73.89
22.0,114.375,2025,1,21,71.29
22.0,115.0,2025,1,21,72.32
22.0,115.625,2025,1,21,74.64
22.5,113.125,2025,1,21,63.3
22.5,113.75,2025,1,21,69.95
22.5,114.375,2025,1,21,68.47
22.5,115.0,2025,1,21,70.35
22.5,115.625,2025,1,21,73.07
23.0,113.125,2025,1,21,54.12
23.0,113.75,2025,1,21,54.7
23.0,114.375,2025,1,21,60.5
23.0,115.0,2025,1,21,62.16
23.0,115.625,2025,1,21,65.72
23.5,113.125,2025,1,21,50.14
23.5,113.75,2025,1,21,49.4
23.5,114.375,2025,1,21,51.24
23.5,115.0,2025,1,21,50.76
23.5,115.625,2025,1,21,57.76
21.0,113.125,2025,1,22,89.21
21.0,113.75,2025,1,22,88.01
21.0,114.375,2025,1,22,85.64
21.0,115.0,2025,1,22,83.61
21.0,115.625,2025,1,22,83.24
21.5,113.125,2025,1,22,87.5
21.5,113.75,2025,1,22,87.63
21.5,114.375,2025,1,22,86.18
21.5,115.0,2025,1,22,84.9
21.5,115.625,2025,1,22,84.68
22.0,113.125,2025,1,22,84.2
22.0,113.75,2025,1,22,85.03
22.0,114.375,2025,1,22,83.88
22.0,115.0,2025,1,22,83.83
22.0,115.625,2025,1,22,84.46
22.5,113.125,2025,1,22,78.18
22.5,113.75,2025,1,22,78.42
22.5,114.375,2025,1,22,77.48
22.5,115.0,2025,1,22,79.63
22.5,115.625,2025,1,22,81.43
23.0,113.125,2025,1,22,67.87
23.0,113.75,2025,1,22,66.53
23.0,114.375,2025,1,22,68.06
23.0,115.0,2025,1,22,68.61
23.0,115.625,2025,1,22,71.66
23.5,113.125,2025,1,22,57.03
23.5,113.75,2025,1,22,56.25
23.5,114.375,2025,1,22,56.15
23.5,115.0,2025,1,22,58.24
23.5,115.625,2025,1,22,65.18
21.0,113.125,2025,1,23,87.2
21.0,113.75,2025,1,23,84.88
21.0,114.375,2025,1,23,84.14
21.0,115.0,2025,1,23,83.42
21.0,115.625,2025,1,23,82.89
21.5,113.125,2025,1,23,87.18
21.5,113.75,2025,1,23,85.35
21.5,114.375,2025,1,23,82.81
21.5,115.0,2025,1,23,82.04
21.5,115.625,2025,1,23,81.62
22.0,113.125,2025,1,23,82.6
22.0,113.75,2025,1,23,87.17
22.0,114.375,2025,1,23,82.74
22.0,115.0,2025,1,23,81.86
22.0,115.625,2025,1,23,80.77
22.5,113.125,2025,1,23,76.73
22.5,113.75,2025,1,23,78.46
22.5,114.375,2025,1,23,77.98
22.5,115.0,2025,1,23,81.6
22.5,115.625,2025,1,23,82.54
23.0,113.125,2025,1,23,71.57
23.0,113.75,2025,1,23,68.01
23.0,114.375,2025,1,23,70.24
23.0,115.0,2025,1,23,70.68
23.0,115.625,2025,1,23,73.87
23.5,113.125,2025,1,23,67.57
23.5,113.75,2025,1,23,63.67
23.5,114.375,2025,1,23,62.42
23.5,115.0,2025,1,23,56.6
23.5,115.625,2025,1,23,62.58
21.0,113.125,2025,1,24,85.29
21.0,113.75,2025,1,24,81.93
21.0,114.375,2025,1,24,79.84
21.0,115.0,2025,1,24,78.87
21.0,115.625,2025,1,24,78.73
21.5,113.125,2025,1,24,87.28
21.5,113.75,2025,1,24,83.85
21.5,114.375,2025,1,24,79.97
21.5,115.0,2025,1,24,78.72
21.5,115.625,2025,1,24,79.08
22.0,113.125,2025,1,24,84.13
22.0,113.75,2025,1,24,85.91
22.0,114.375,2025,1,24,81.34
22.0,115.0,2025,1,24,79.87
22.0,115.625,2025,1,24,80.0
22.5,113.125,2025,1,24,76.79
22.5,113.75,2025,1,24,78.89
22.5,114.375,2025,1,24,77.1
22.5,115.0,2025,1,24,80.04
22.5,115.625,2025,1,24,80.98
23.0,113.125,2025,1,24,69.78
23.0,113.75,2025,1,24,68.39
23.0,114.375,2025,1,24,71.76
23.0,115.0,2025,1,24,72.32
